"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/routing/ContentForm.module.css", "CSS", 0, 29, 0, 8, 37
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/routing/ProjectRouting.module.css", "CSS", 0, 57, 3, 11, 71
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/routing/RoutingItem.js", "JavaScript", 170, 0, 9, 27, 206
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/routing/RoutingItem.module.css", "CSS", 0, 71, 8, 14, 93
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/routing/SectionForm.js", "JavaScript", 87, 0, 0, 17, 104
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/routing/SectionForm.module.css", "CSS", 0, 16, 0, 3, 19
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/components/projects/project/routing/index.js", "JavaScript", 160, 0, 0, 36, 196
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/custom-hooks/website-projects.js", "JavaScript", 31, 0, 0, 9, 40
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/helpers/Task.js", "JavaScript", 5, 0, 0, 1, 6
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/helpers/stringHelper.js", "JavaScript", 24, 0, 0, 5, 29
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/helpers/styles.js", "JavaScript", 9, 0, 0, 4, 13
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/store/auth.js", "JavaScript", 59, 0, 0, 13, 72
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/store/index.js", "JavaScript", 12, 0, 0, 3, 15
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/store/personal.js", "JavaScript", 13, 0, 0, 5, 18
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/store/projActions.js", "JavaScript", 116, 0, 1, 23, 140
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/store/projects.js", "JavaScript", 94, 0, 0, 20, 114
"/Volumes/AJDWS/WorkSpace/Websites/angelo/src/store/storeManager.js", "JavaScript", 13, 0, 1, 4, 18
"Total", "-", 2447, 1089, 34, 783, 4353
